cups_direccion,cups_municipio,cups_codigo_postal,cups_codigo,cups_distribuidor,fecha,consumo
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-01,2.81
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-02,3.71
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-03,6.4
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-04,4.28
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-05,3.91
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-06,3.86
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-07,5.1
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-08,3.76
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-09,4.0
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-10,3.29
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-11,3.74
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-12,4.92
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-13,6.01
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-14,6.86
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-15,3.46
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-16,3.23
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2025-01-17,5.65
